,VA,VB,Fre,Temp,temp_2m,shortwave_radiation,wind_speed_10m,pressure_msl,cloud_cover,Generacion_Solar
2026-04-26 18:00:00,125.74444444444444,125.75679012345678,59.98111111111111,20.695238095238093,9.3,81.0,3.0,694.7,85,0.0162
2026-04-26 19:00:00,124.85453333333334,124.88386666666663,59.98986666666666,19.486956521739128,9.3,1.0,3.0,695.3,100,0.0002
2026-04-26 20:00:00,125.43546666666668,125.46973333333332,59.988933333333335,19.517857142857142,9.4,0.0,0.4,695.9,100,0.0
2026-04-26 21:00:00,126.75958333333334,126.79958333333332,59.98875,19.07671232876713,9.7,0.0,0.8,696.8,100,0.0
2026-04-26 22:00:00,127.05707317073173,127.07524390243904,59.99219512195121,19.1,9.2,0.0,0.3,696.9,59,0.0
2026-04-26 23:00:00,127.51025974025973,127.51714285714286,59.9938961038961,19.070833333333336,8.5,0.0,0.4,696.2,79,0.0
2026-04-27 00:00:00,127.90935064935066,127.94792207792209,59.997142857142855,18.944,8.0,0.0,0.8,695.3,77,0.0
2026-04-27 01:00:00,128.40194805194807,128.40350649350648,59.98779220779221,18.791954022988502,7.7,0.0,0.7,694.8,100,0.0
2026-04-27 02:00:00,128.43268292682927,128.465,59.99414634146342,18.7,7.5,0.0,0.4,694.3,100,0.0
2026-04-27 03:00:00,128.1427848101266,128.1460759493671,59.9926582278481,18.64814814814815,6.9,0.0,0.5,693.8,100,0.0
2026-04-27 04:00:00,128.17820512820512,128.20538461538462,59.98948717948719,18.549411764705884,7.1,0.0,0.6,693.6,100,0.0
2026-04-27 05:00:00,126.2838888888889,126.31375,59.99152777777778,18.5,6.7,0.0,0.9,693.5,100,0.0
2026-04-27 06:00:00,123.3091304347826,123.33985507246378,59.98942028985508,18.51625,6.5,0.0,0.2,693.7,100,0.0
2026-04-27 07:00:00,123.96173333333334,123.94746666666666,59.98906666666667,18.522222222222226,7.8,32.0,1.2,695.2,100,0.0064
2026-04-27 08:00:00,124.40293333333332,124.4216,59.98973333333333,18.64588235294118,9.7,200.0,3.0,697.8,98,0.04
2026-04-27 09:00:00,125.48166666666668,125.5275,59.99458333333333,19.04,11.1,383.0,3.5,699.3,98,0.07660000000000002
2026-04-27 10:00:00,123.59625,123.64111111111112,59.98472222222222,19.422784810126583,12.4,489.0,6.7,699.9,100,0.09780000000000001
2026-04-27 11:00:00,122.5038028169014,122.50760563380284,59.9930985915493,20.08452380952381,11.6,359.0,6.4,699.2,99,0.0718
2026-04-27 12:00:00,124.12546666666668,124.14653333333332,59.9912,20.105405405405406,13.1,640.0,7.7,699.3,80,0.128
2026-04-27 13:00:00,124.74094594594594,124.78216216216217,59.99175675675677,19.862666666666662,13.9,879.0,9.2,698.8,100,0.1758
2026-04-27 14:00:00,124.6412658227848,124.66,59.992911392405055,19.61,10.7,448.0,8.9,696.7,82,0.08960000000000001
2026-04-27 15:00:00,125.2157894736842,125.2661842105263,59.990526315789474,19.57848101265823,11.7,341.0,3.6,696.9,100,0.0682
2026-04-27 16:00:00,124.67053333333334,124.6792,59.9868,19.666666666666668,11.5,255.0,3.0,696.2,100,0.051
2026-04-27 17:00:00,124.77263888888888,124.78180555555554,59.990833333333335,19.469736842105263,11.4,260.0,2.4,696.1,98,0.052
2026-04-27 18:00:00,124.85058823529413,124.87985294117648,59.99088235294118,19.27037037037037,9.4,82.0,0.5,695.6,100,0.0164
2026-04-27 19:00:00,124.28458333333332,124.31958333333334,59.9938888888889,19.303614457831326,9.6,1.0,0.2,696.0,66,0.0002
2026-04-27 20:00:00,125.43986666666666,125.46853333333333,59.98626666666667,19.152439024390244,8.1,0.0,1.0,695.4,80,0.0
2026-04-27 21:00:00,126.9530303030303,126.99772727272727,59.98772727272728,19.04268292682927,8.3,0.0,0.4,695.8,41,0.0
